Statement,Country,% agreeing with statement
Products and services using artificial  intelligence will profoundly change  my daily life in the next 3–5 years ,Singapore,79%
I trust artificial intelligence to not  discriminate or show bias towards  any group of people  ,Singapore,60%
I trust that companies that use  artificial intelligence will protect  my personal data ,Singapore,56%
Products and services using  artificial intelligence  make me excited,Singapore,64%
Products and services using artificial intelligence make me nervous,Singapore,56%
Products and services using artificial  intelligence will profoundly change  my daily life in the next 3–5 years ,South Africa,76%
Products and services using  artificial intelligence  make me excited,South Africa,61%
I trust that companies that use  artificial intelligence will protect  my personal data ,South Africa,62%
I trust artificial intelligence to not  discriminate or show bias towards  any group of people  ,South Africa,72%
Products and services using artificial  intelligence have profoundly changed  my daily life in the past 3–5 years ,South Africa,63%
Products and services using artificial intelligence make me nervous,South Africa,54%
I have a good understanding of what  artificial intelligence is ,South Africa,76%
I know which types of products and  services use artificial intelligence ,South Africa,64%
I have a good understanding of what  artificial intelligence is ,South Korea,72%
I know which types of products and  services use artificial intelligence ,South Korea,65%
Products and services using artificial  intelligence have profoundly changed  my daily life in the past 3–5 years ,South Korea,71%
Products and services using artificial  intelligence will profoundly change  my daily life in the next 3–5 years ,South Korea,79%
I trust artificial intelligence to not  discriminate or show bias towards  any group of people  ,South Korea,51%
I trust that companies that use  artificial intelligence will protect  my personal data ,South Korea,37%
Products and services using  artificial intelligence  make me excited,South Korea,73%
Products and services using artificial intelligence make me nervous,South Korea,40%
I have a good understanding of what  artificial intelligence is ,Spain,65%
I trust that companies that use  artificial intelligence will protect  my personal data ,Spain,48%
I trust artificial intelligence to not  discriminate or show bias towards  any group of people  ,Spain,52%
Products and services using artificial  intelligence have profoundly changed  my daily life in the past 3–5 years ,Spain,43%
Products and services using artificial intelligence make me nervous,Spain,48%
I know which types of products and  services use artificial intelligence ,Spain,46%
Products and services using artificial  intelligence will profoundly change  my daily life in the next 3–5 years ,Spain,59%
Products and services using  artificial intelligence  make me excited,Spain,45%
I have a good understanding of what  artificial intelligence is ,Sweden,65%
I know which types of products and  services use artificial intelligence ,Sweden,39%
Products and services using artificial  intelligence have profoundly changed  my daily life in the past 3–5 years ,Sweden,31%
Products and services using artificial  intelligence will profoundly change  my daily life in the next 3–5 years ,Sweden,52%
I trust artificial intelligence to not  discriminate or show bias towards  any group of people  ,Sweden,33%
I trust that companies that use  artificial intelligence will protect  my personal data ,Sweden,35%
Products and services using artificial intelligence make me nervous,Sweden,56%
Products and services using  artificial intelligence  make me excited,Sweden,36%
I know which types of products and  services use artificial intelligence ,Switzerland,42%
Products and services using artificial  intelligence have profoundly changed  my daily life in the past 3–5 years ,Switzerland,38%
Products and services using artificial  intelligence will profoundly change  my daily life in the next 3–5 years ,Switzerland,55%
I trust artificial intelligence to not  discriminate or show bias towards  any group of people  ,Switzerland,43%
I trust that companies that use  artificial intelligence will protect  my personal data ,Switzerland,43%
Products and services using artificial intelligence make me nervous,Switzerland,51%
I have a good understanding of what  artificial intelligence is ,Switzerland,57%
Products and services using  artificial intelligence  make me excited,Switzerland,42%
Products and services using artificial  intelligence have profoundly changed  my daily life in the past 3–5 years ,Thailand,73%
Products and services using artificial  intelligence will profoundly change  my daily life in the next 3–5 years ,Thailand,78%
I have a good understanding of what  artificial intelligence is ,Thailand,75%
