Statement,Country,pp. change
Products and services using artificial  intelligence make me nervous ,New Zealand,3%
I have a good understanding of what  artificial intelligence is ,New Zealand,6%
I know which types of products and  services use artificial intelligence ,New Zealand,5%
Products and services using artificial  intelligence have profoundly changed  my daily life in the past 3–5 years ,New Zealand,2%
Products and services using artificial  intelligence will profoundly change  my daily life in the next 3–5 years ,New Zealand,3%
I trust artificial intelligence to not  discriminate or show bias toward  any group of people ,New Zealand,-2%
I trust that companies that use  artificial intelligence will protect  my personal data ,New Zealand,-2%
Products and services using  artificial intelligence  make me excited ,New Zealand,0%
I know which types of products and  services use artificial intelligence ,Peru,0%
I have a good understanding of what  artificial intelligence is ,Peru,6%
I trust artificial intelligence to not  discriminate or show bias toward  any group of people ,Peru,2%
Products and services using artificial  intelligence will profoundly change  my daily life in the next 3–5 years ,Peru,0%
Products and services using  artificial intelligence  make me excited ,Peru,-4%
Products and services using artificial  intelligence make me nervous ,Peru,3%
Products and services using artificial  intelligence have profoundly changed  my daily life in the past 3–5 years ,Peru,1%
I trust that companies that use  artificial intelligence will protect  my personal data ,Peru,2%
I trust that companies that use  artificial intelligence will protect  my personal data ,Poland,-10%
I know which types of products and  services use artificial intelligence ,Poland,0%
Products and services using  artificial intelligence  make me excited ,Poland,-6%
Products and services using artificial  intelligence have profoundly changed  my daily life in the past 3–5 years ,Poland,-5%
Products and services using artificial  intelligence will profoundly change  my daily life in the next 3–5 years ,Poland,-2%
I trust artificial intelligence to not  discriminate or show bias toward  any group of people ,Poland,-5%
I have a good understanding of what  artificial intelligence is ,Poland,-1%
Products and services using artificial  intelligence make me nervous ,Poland,-1%
I have a good understanding of what  artificial intelligence is ,Singapore,0%
Products and services using artificial  intelligence will profoundly change  my daily life in the next 3–5 years ,Singapore,1%
I know which types of products and  services use artificial intelligence ,Singapore,0%
I trust artificial intelligence to not  discriminate or show bias toward  any group of people ,Singapore,-3%
I trust that companies that use  artificial intelligence will protect  my personal data ,Singapore,2%
Products and services using artificial  intelligence make me nervous ,Singapore,3%
Products and services using  artificial intelligence  make me excited ,Singapore,-1%
Products and services using artificial  intelligence have profoundly changed  my daily life in the past 3–5 years ,Singapore,4%
Products and services using  artificial intelligence  make me excited ,South Africa,2%
Products and services using artificial  intelligence make me nervous ,South Africa,1%
I trust that companies that use  artificial intelligence will protect  my personal data ,South Africa,4%
I trust artificial intelligence to not  discriminate or show bias toward  any group of people ,South Africa,6%
Products and services using artificial  intelligence will profoundly change  my daily life in the next 3–5 years ,South Africa,6%
Products and services using artificial  intelligence have profoundly changed  my daily life in the past 3–5 years ,South Africa,6%
I have a good understanding of what  artificial intelligence is ,South Africa,-2%
I know which types of products and  services use artificial intelligence ,South Africa,4%
