Date,Geographic area,Relative AI hiring year-over-year ratio
10/1/23,Uruguay,11.46%
11/1/23,Uruguay,10.64%
12/1/23,Uruguay,19.69%
1/1/24,Uruguay,17.84%
2/1/24,Uruguay,16.02%
3/1/24,Uruguay,16.04%
4/1/24,Uruguay,26.28%
5/1/24,Uruguay,22.31%
6/1/24,Uruguay,24.53%
7/1/24,Uruguay,28.03%
8/1/24,Uruguay,23.64%
9/1/24,Uruguay,20.74%
10/1/24,Uruguay,24.78%
11/1/24,Uruguay,21.66%
12/1/24,Uruguay,13.22%
