Year,Geographic area,Gender,AI talent representation
2019,Mexico,Female,26.09%
2019,Mexico,Male,73.92%
2020,Mexico,Female,25.96%
2020,Mexico,Male,74.04%
2021,Mexico,Female,26.14%
2021,Mexico,Male,73.86%
2022,Mexico,Female,26.20%
2022,Mexico,Male,73.81%
2023,Mexico,Female,25.96%
2023,Mexico,Male,74.04%
2024,Mexico,Female,25.95%
2024,Mexico,Male,74.05%
2016,Netherlands,Female,26.30%
2016,Netherlands,Male,73.70%
2017,Netherlands,Female,26.38%
2017,Netherlands,Male,73.62%
2018,Netherlands,Female,26.66%
2018,Netherlands,Male,73.34%
2019,Netherlands,Female,26.87%
2019,Netherlands,Male,73.14%
2020,Netherlands,Female,27.17%
2020,Netherlands,Male,72.84%
2021,Netherlands,Female,27.71%
2021,Netherlands,Male,72.29%
2022,Netherlands,Female,28.04%
2022,Netherlands,Male,71.96%
2023,Netherlands,Female,28.23%
2023,Netherlands,Male,71.78%
2024,Netherlands,Female,28.32%
2024,Netherlands,Male,71.68%
2016,New Zealand,Female,31.38%
2016,New Zealand,Male,68.62%
2017,New Zealand,Female,31.58%
2017,New Zealand,Male,68.42%
2018,New Zealand,Female,31.54%
2018,New Zealand,Male,68.47%
2019,New Zealand,Female,31.49%
2019,New Zealand,Male,68.51%
2020,New Zealand,Female,32.15%
2020,New Zealand,Male,67.85%
2021,New Zealand,Female,32.58%
2021,New Zealand,Male,67.43%
2022,New Zealand,Female,32.91%
2022,New Zealand,Male,67.09%
2023,New Zealand,Female,33.70%
2023,New Zealand,Male,66.30%
2024,New Zealand,Female,34.25%
2024,New Zealand,Male,65.75%
2016,Norway,Female,27.07%
2016,Norway,Male,72.93%
2017,Norway,Female,26.27%
2017,Norway,Male,73.73%
2018,Norway,Female,25.76%
2018,Norway,Male,74.24%
2019,Norway,Female,25.61%
2019,Norway,Male,74.39%
2020,Norway,Female,25.99%
2020,Norway,Male,74.01%
2021,Norway,Female,26.25%
2021,Norway,Male,73.75%
2022,Norway,Female,26.59%
2022,Norway,Male,73.41%
2023,Norway,Female,27.18%
2023,Norway,Male,72.82%
2024,Norway,Female,27.39%
2024,Norway,Male,72.61%
2016,Poland,Female,28.26%
2016,Poland,Male,71.74%
2017,Poland,Female,28.41%
2017,Poland,Male,71.59%
2018,Poland,Female,28.73%
2018,Poland,Male,71.27%
2019,Poland,Female,28.87%
2019,Poland,Male,71.13%
2020,Poland,Female,28.89%
2020,Poland,Male,71.11%
2021,Poland,Female,29.60%
2021,Poland,Male,70.40%
2022,Poland,Female,30.34%
2022,Poland,Male,69.66%
2023,Poland,Female,30.63%
2023,Poland,Male,69.38%
2024,Poland,Female,30.79%
2024,Poland,Male,69.21%
2016,Portugal,Female,26.65%
2016,Portugal,Male,73.35%
2017,Portugal,Female,26.40%
2017,Portugal,Male,73.60%
2018,Portugal,Female,26.61%
2018,Portugal,Male,73.39%
2019,Portugal,Female,26.88%
2019,Portugal,Male,73.12%
2020,Portugal,Female,26.91%
2020,Portugal,Male,73.09%
2021,Portugal,Female,27.37%
2021,Portugal,Male,72.63%
2022,Portugal,Female,27.47%
2022,Portugal,Male,72.53%
2023,Portugal,Female,27.50%
2023,Portugal,Male,72.50%
2024,Portugal,Female,27.49%
2024,Portugal,Male,72.51%
2016,Romania,Female,40.51%
2016,Romania,Male,59.49%
2017,Romania,Female,41.28%
2017,Romania,Male,58.72%
2018,Romania,Female,41.19%
2018,Romania,Male,58.81%
2019,Romania,Female,41.32%
2019,Romania,Male,58.68%
2020,Romania,Female,40.68%
2020,Romania,Male,59.33%
2021,Romania,Female,40.98%
2021,Romania,Male,59.02%
2022,Romania,Female,41.26%
2022,Romania,Male,58.74%
2023,Romania,Female,41.13%
2023,Romania,Male,58.87%
2024,Romania,Female,41.00%
2024,Romania,Male,59.00%
2016,Saudi Arabia,Female,14.02%
2016,Saudi Arabia,Male,85.98%
2017,Saudi Arabia,Female,14.87%
2017,Saudi Arabia,Male,85.13%
2018,Saudi Arabia,Female,17.34%
2018,Saudi Arabia,Male,82.66%
2019,Saudi Arabia,Female,20.21%
2019,Saudi Arabia,Male,79.79%
2020,Saudi Arabia,Female,23.33%
2020,Saudi Arabia,Male,76.67%
2021,Saudi Arabia,Female,26.52%
2021,Saudi Arabia,Male,73.49%
2022,Saudi Arabia,Female,28.63%
2022,Saudi Arabia,Male,71.37%
2023,Saudi Arabia,Female,29.80%
2023,Saudi Arabia,Male,70.20%
2024,Saudi Arabia,Female,30.98%
2024,Saudi Arabia,Male,69.02%
