Country of developer,Country of developer_label,Country of provider,Country of provider_label,is_open_source,model_count_provider,ref_date,type
ALL,-- All countries --,CAN,Canada,All,4,202404,All modalities
ALL,-- All countries --,CAN,Canada,All,4,202405,All modalities
ALL,-- All countries --,CAN,Canada,All,4,202406,All modalities
ALL,-- All countries --,CAN,Canada,All,3,202407,All modalities
ALL,-- All countries --,CAN,Canada,All,3,202408,All modalities
ALL,-- All countries --,CAN,Canada,All,3,202409,All modalities
ALL,-- All countries --,CAN,Canada,All,8,202410,All modalities
ALL,-- All countries --,CAN,Canada,All,10,202411,All modalities
ALL,-- All countries --,CAN,Canada,All,10,202412,All modalities
ALL,-- All countries --,CAN,Canada,All,10,202501,All modalities
ALL,-- All countries --,CAN,Canada,All,10,202502,All modalities
ALL,-- All countries --,CAN,Canada,All,19,202503,All modalities
ALL,-- All countries --,CAN,Canada,All,19,202504,All modalities
ALL,-- All countries --,ISR,Israel,All,3,202303,All modalities
ALL,-- All countries --,ISR,Israel,All,3,202304,All modalities
ALL,-- All countries --,ISR,Israel,All,3,202305,All modalities
ALL,-- All countries --,ISR,Israel,All,3,202306,All modalities
ALL,-- All countries --,ISR,Israel,All,3,202307,All modalities
ALL,-- All countries --,ISR,Israel,All,3,202308,All modalities
ALL,-- All countries --,ISR,Israel,All,3,202309,All modalities
ALL,-- All countries --,ISR,Israel,All,3,202310,All modalities
ALL,-- All countries --,ISR,Israel,All,3,202311,All modalities
ALL,-- All countries --,ISR,Israel,All,4,202312,All modalities
ALL,-- All countries --,ISR,Israel,All,4,202401,All modalities
ALL,-- All countries --,ISR,Israel,All,4,202402,All modalities
ALL,-- All countries --,ISR,Israel,All,4,202403,All modalities
ALL,-- All countries --,ISR,Israel,All,4,202404,All modalities
ALL,-- All countries --,ISR,Israel,All,4,202405,All modalities
ALL,-- All countries --,ISR,Israel,All,4,202406,All modalities
ALL,-- All countries --,ISR,Israel,All,4,202407,All modalities
ALL,-- All countries --,ISR,Israel,All,6,202408,All modalities
ALL,-- All countries --,ISR,Israel,All,2,202409,All modalities
ALL,-- All countries --,ISR,Israel,All,2,202410,All modalities
ALL,-- All countries --,ISR,Israel,All,2,202411,All modalities
ALL,-- All countries --,ISR,Israel,All,2,202412,All modalities
ALL,-- All countries --,ISR,Israel,All,2,202501,All modalities
ALL,-- All countries --,ISR,Israel,All,2,202502,All modalities
ALL,-- All countries --,ISR,Israel,All,2,202503,All modalities
ALL,-- All countries --,ISR,Israel,All,2,202504,All modalities
ALL,-- All countries --,KOR,Korea,All,2,202409,All modalities
ALL,-- All countries --,KOR,Korea,All,3,202410,All modalities
ALL,-- All countries --,KOR,Korea,All,3,202411,All modalities
ALL,-- All countries --,KOR,Korea,All,3,202412,All modalities
ALL,-- All countries --,KOR,Korea,All,3,202501,All modalities
ALL,-- All countries --,KOR,Korea,All,3,202502,All modalities
ALL,-- All countries --,KOR,Korea,All,3,202503,All modalities
ALL,-- All countries --,KOR,Korea,All,3,202504,All modalities
