Publication date,Number of parameters,Label
2019-04-08,7000000.0,Industry–academia
2019-02-28,437700000.0,Industry–academia
2019-02-01,764000.0,Industry–academia
2019-01-09,257000000.0,Industry–academia
2018-10-15,180000000.0,Industry–academia
2018-09-28,112694781.0,Industry–academia
2018-09-24,2100000.0,Industry–academia
2018-09-18,35000000.0,Industry–academia
2018-09-17,90000000.0,Industry–academia
2018-08-30,185000000.0,Industry–academia
2018-06-30,2280000.0,Industry–academia
2018-06-27,1200000.0,Industry–academia
2018-06-24,33000000.0,Industry–academia
2018-03-27,530442240.0,Industry–academia
2018-03-04,13000000.0,Industry–academia
2018-02-15,42000.0,Industry–academia
2018-02-09,24000000.0,Industry–academia
2017-12-05,6020000.0,Industry–academia
2017-12-02,86000000.0,Industry–academia
2017-09-15,11100000.0,Industry–academia
2017-07-18,24000000.0,Industry–academia
2017-07-10,44654504.0,Industry–academia
2017-01-23,8700000000.0,Industry–academia
2016-11-16,25000000.0,Industry–academia
2016-11-04,51000000.0,Industry–academia
2016-08-25,34000000.0,Industry–academia
2016-08-22,5480000.0,Industry–academia
2015-12-02,23626728.0,Industry–academia
2015-06-08,271684800.0,Industry–academia
2015-03-17,8000000.0,Industry–academia
2015-02-28,205190.0,Industry–academia
2014-09-17,6797700.0,Industry–academia
2014-09-08,66000000.0,Industry–academia
2014-06-23,126125568.0,Industry–academia
2014-06-22,26500000.0,Industry–academia
2013-12-05,942000000.0,Industry–academia
2013-05-26,101706240.0,Industry–academia
2012-12-01,9000000.0,Industry–academia
2011-11-08,5000000.0,Industry–academia
2010-01-01,1025.0,Industry–academia
2021-08-11,3200000000.0,Academia–government
2018-05-22,32000000.0,Academia–government
2014-09-14,5000000.0,Academia–government
2022-11-03,13000000000.0,Industry–research collective
2022-07-11,176247271424.0,Industry–research collective
2019-11-10,209000000.0,Industry–research collective
