state_code,date,PHCI,UR,BPPRIV,NAICS54
WI,2019-11-01,126.83,3.2,1949,116.1
WY,2019-11-01,117.49,4.0,113,9.7
AL,2019-12-01,129.75,3.1,1366,108.7
AK,2019-12-01,114.3,5.2,117,13.3
AZ,2019-12-01,151.71,4.7,3779,160.8
AR,2019-12-01,129.98,3.5,1322,43.4
CA,2019-12-01,150.54,4.1,11523,1349.3
CO,2019-12-01,149.55,2.8,4037,240.3
CT,2019-12-01,123.47,3.7,444,96.0
DE,2019-12-01,128.28,3.6,453,25.8
FL,2019-12-01,153.49,3.0,12079,605.4
GA,2019-12-01,146.75,3.5,3727,288.0
HI,2019-12-01,122.41,2.2,342,24.8
ID,2019-12-01,149.02,2.8,1248,41.8
IL,2019-12-01,126.78,3.6,2025,427.1
IN,2019-12-01,128.44,3.3,1475,124.5
IA,2019-12-01,129.11,2.7,506,53.3
