Country of developer,Country of developer_label,Country of provider,Country of provider_label,is_open_source,model_count_provider,ref_date,type
ALL,-- All countries --,NLD,Netherlands,All,24,2024-12-01,All modalities
ALL,-- All countries --,NLD,Netherlands,All,34,2025-01-01,All modalities
ALL,-- All countries --,NLD,Netherlands,All,34,2025-02-01,All modalities
ALL,-- All countries --,NLD,Netherlands,All,42,2025-03-01,All modalities
ALL,-- All countries --,NLD,Netherlands,All,46,2025-04-01,All modalities
ALL,-- All countries --,DEU,Germany,All,3,2023-02-01,All modalities
ALL,-- All countries --,DEU,Germany,All,4,2023-03-01,All modalities
ALL,-- All countries --,DEU,Germany,All,4,2023-04-01,All modalities
ALL,-- All countries --,DEU,Germany,All,4,2023-05-01,All modalities
ALL,-- All countries --,DEU,Germany,All,4,2023-06-01,All modalities
ALL,-- All countries --,DEU,Germany,All,4,2023-07-01,All modalities
ALL,-- All countries --,DEU,Germany,All,4,2023-08-01,All modalities
ALL,-- All countries --,DEU,Germany,All,6,2023-09-01,All modalities
ALL,-- All countries --,DEU,Germany,All,6,2023-10-01,All modalities
ALL,-- All countries --,DEU,Germany,All,6,2023-11-01,All modalities
ALL,-- All countries --,DEU,Germany,All,6,2023-12-01,All modalities
ALL,-- All countries --,DEU,Germany,All,6,2024-01-01,All modalities
ALL,-- All countries --,DEU,Germany,All,6,2024-02-01,All modalities
ALL,-- All countries --,DEU,Germany,All,6,2024-03-01,All modalities
ALL,-- All countries --,DEU,Germany,All,6,2024-04-01,All modalities
ALL,-- All countries --,DEU,Germany,All,6,2024-05-01,All modalities
ALL,-- All countries --,DEU,Germany,All,6,2024-06-01,All modalities
ALL,-- All countries --,DEU,Germany,All,6,2024-07-01,All modalities
ALL,-- All countries --,DEU,Germany,All,7,2024-08-01,All modalities
ALL,-- All countries --,DEU,Germany,All,8,2024-09-01,All modalities
ALL,-- All countries --,DEU,Germany,All,10,2024-10-01,All modalities
ALL,-- All countries --,DEU,Germany,All,10,2024-11-01,All modalities
ALL,-- All countries --,DEU,Germany,All,10,2024-12-01,All modalities
ALL,-- All countries --,DEU,Germany,All,13,2025-01-01,All modalities
ALL,-- All countries --,DEU,Germany,All,13,2025-02-01,All modalities
ALL,-- All countries --,DEU,Germany,All,13,2025-03-01,All modalities
ALL,-- All countries --,DEU,Germany,All,13,2025-04-01,All modalities
ALL,-- All countries --,CAN,Canada,All,3,2023-07-01,All modalities
ALL,-- All countries --,CAN,Canada,All,4,2023-08-01,All modalities
ALL,-- All countries --,CAN,Canada,All,4,2023-09-01,All modalities
ALL,-- All countries --,CAN,Canada,All,4,2023-10-01,All modalities
ALL,-- All countries --,CAN,Canada,All,4,2023-11-01,All modalities
ALL,-- All countries --,CAN,Canada,All,4,2023-12-01,All modalities
ALL,-- All countries --,CAN,Canada,All,4,2024-01-01,All modalities
ALL,-- All countries --,CAN,Canada,All,4,2024-02-01,All modalities
ALL,-- All countries --,CAN,Canada,All,3,2024-03-01,All modalities
ALL,-- All countries --,CAN,Canada,All,4,2024-04-01,All modalities
ALL,-- All countries --,CAN,Canada,All,4,2024-05-01,All modalities
ALL,-- All countries --,CAN,Canada,All,4,2024-06-01,All modalities
ALL,-- All countries --,CAN,Canada,All,3,2024-07-01,All modalities
ALL,-- All countries --,CAN,Canada,All,3,2024-08-01,All modalities
ALL,-- All countries --,CAN,Canada,All,3,2024-09-01,All modalities
ALL,-- All countries --,CAN,Canada,All,8,2024-10-01,All modalities
ALL,-- All countries --,CAN,Canada,All,10,2024-11-01,All modalities
ALL,-- All countries --,CAN,Canada,All,10,2024-12-01,All modalities
ALL,-- All countries --,CAN,Canada,All,10,2025-01-01,All modalities
ALL,-- All countries --,CAN,Canada,All,10,2025-02-01,All modalities
ALL,-- All countries --,CAN,Canada,All,19,2025-03-01,All modalities
ALL,-- All countries --,CAN,Canada,All,19,2025-04-01,All modalities
ALL,-- All countries --,ISR,Israel,All,3,2023-03-01,All modalities
ALL,-- All countries --,ISR,Israel,All,3,2023-04-01,All modalities
ALL,-- All countries --,ISR,Israel,All,3,2023-05-01,All modalities
ALL,-- All countries --,ISR,Israel,All,3,2023-06-01,All modalities
ALL,-- All countries --,ISR,Israel,All,3,2023-07-01,All modalities
ALL,-- All countries --,ISR,Israel,All,3,2023-08-01,All modalities
ALL,-- All countries --,ISR,Israel,All,3,2023-09-01,All modalities
