Country of developer,Country of developer_label,Country of provider,Country of provider_label,foundation_model_count_by_provider,is_open_source,ref_date,type
ALL,-- All countries --,CAN,Canada,4,All,2023-08-01,All modalities
ALL,-- All countries --,CAN,Canada,4,All,2023-09-01,All modalities
ALL,-- All countries --,CAN,Canada,4,All,2023-10-01,All modalities
ALL,-- All countries --,CAN,Canada,4,All,2023-11-01,All modalities
ALL,-- All countries --,CAN,Canada,4,All,2023-12-01,All modalities
ALL,-- All countries --,CAN,Canada,4,All,2024-01-01,All modalities
ALL,-- All countries --,CAN,Canada,4,All,2024-02-01,All modalities
ALL,-- All countries --,CAN,Canada,3,All,2024-03-01,All modalities
ALL,-- All countries --,CAN,Canada,4,All,2024-04-01,All modalities
ALL,-- All countries --,CAN,Canada,4,All,2024-05-01,All modalities
ALL,-- All countries --,CAN,Canada,4,All,2024-06-01,All modalities
ALL,-- All countries --,CAN,Canada,3,All,2024-07-01,All modalities
ALL,-- All countries --,CAN,Canada,3,All,2024-08-01,All modalities
ALL,-- All countries --,CAN,Canada,3,All,2024-09-01,All modalities
ALL,-- All countries --,CAN,Canada,8,All,2024-10-01,All modalities
ALL,-- All countries --,CAN,Canada,9,All,2024-11-01,All modalities
ALL,-- All countries --,CAN,Canada,9,All,2024-12-01,All modalities
ALL,-- All countries --,CAN,Canada,9,All,2025-01-01,All modalities
ALL,-- All countries --,CAN,Canada,9,All,2025-02-01,All modalities
ALL,-- All countries --,CAN,Canada,18,All,2025-03-01,All modalities
ALL,-- All countries --,CAN,Canada,18,All,2025-04-01,All modalities
ALL,-- All countries --,ISR,Israel,3,All,2023-03-01,All modalities
ALL,-- All countries --,ISR,Israel,3,All,2023-04-01,All modalities
ALL,-- All countries --,ISR,Israel,3,All,2023-05-01,All modalities
ALL,-- All countries --,ISR,Israel,3,All,2023-06-01,All modalities
ALL,-- All countries --,ISR,Israel,3,All,2023-07-01,All modalities
ALL,-- All countries --,ISR,Israel,3,All,2023-08-01,All modalities
ALL,-- All countries --,ISR,Israel,3,All,2023-09-01,All modalities
ALL,-- All countries --,ISR,Israel,3,All,2023-10-01,All modalities
ALL,-- All countries --,ISR,Israel,3,All,2023-11-01,All modalities
ALL,-- All countries --,ISR,Israel,4,All,2023-12-01,All modalities
ALL,-- All countries --,ISR,Israel,4,All,2024-01-01,All modalities
ALL,-- All countries --,ISR,Israel,4,All,2024-02-01,All modalities
ALL,-- All countries --,ISR,Israel,4,All,2024-03-01,All modalities
ALL,-- All countries --,ISR,Israel,4,All,2024-04-01,All modalities
ALL,-- All countries --,ISR,Israel,4,All,2024-05-01,All modalities
ALL,-- All countries --,ISR,Israel,4,All,2024-06-01,All modalities
ALL,-- All countries --,ISR,Israel,4,All,2024-07-01,All modalities
ALL,-- All countries --,ISR,Israel,6,All,2024-08-01,All modalities
ALL,-- All countries --,ISR,Israel,2,All,2024-09-01,All modalities
ALL,-- All countries --,ISR,Israel,2,All,2024-10-01,All modalities
ALL,-- All countries --,ISR,Israel,2,All,2024-11-01,All modalities
ALL,-- All countries --,ISR,Israel,2,All,2024-12-01,All modalities
ALL,-- All countries --,ISR,Israel,2,All,2025-01-01,All modalities
ALL,-- All countries --,ISR,Israel,2,All,2025-02-01,All modalities
ALL,-- All countries --,ISR,Israel,2,All,2025-03-01,All modalities
ALL,-- All countries --,ISR,Israel,2,All,2025-04-01,All modalities
ALL,-- All countries --,KOR,Korea,2,All,2024-09-01,All modalities
ALL,-- All countries --,KOR,Korea,3,All,2024-10-01,All modalities
ALL,-- All countries --,KOR,Korea,3,All,2024-11-01,All modalities
ALL,-- All countries --,KOR,Korea,3,All,2024-12-01,All modalities
ALL,-- All countries --,KOR,Korea,3,All,2025-01-01,All modalities
ALL,-- All countries --,KOR,Korea,3,All,2025-02-01,All modalities
ALL,-- All countries --,KOR,Korea,3,All,2025-03-01,All modalities
ALL,-- All countries --,KOR,Korea,3,All,2025-04-01,All modalities
