Country of developer,Country of developer_label,Country of provider,Country of provider_label,foundation_model_count_by_provider,is_open_source,ref_date,type
ALL,-- All countries --,GBR,United Kingdom,11,All,202412,All modalities
ALL,-- All countries --,GBR,United Kingdom,11,All,202501,All modalities
ALL,-- All countries --,GBR,United Kingdom,11,All,202502,All modalities
ALL,-- All countries --,GBR,United Kingdom,11,All,202503,All modalities
ALL,-- All countries --,GBR,United Kingdom,11,All,202504,All modalities
ALL,-- All countries --,NLD,Netherlands,16,All,202411,All modalities
ALL,-- All countries --,NLD,Netherlands,16,All,202412,All modalities
ALL,-- All countries --,NLD,Netherlands,26,All,202501,All modalities
ALL,-- All countries --,NLD,Netherlands,26,All,202502,All modalities
ALL,-- All countries --,NLD,Netherlands,33,All,202503,All modalities
ALL,-- All countries --,NLD,Netherlands,36,All,202504,All modalities
ALL,-- All countries --,CAN,Canada,3,All,202307,All modalities
ALL,-- All countries --,CAN,Canada,4,All,202308,All modalities
ALL,-- All countries --,CAN,Canada,4,All,202309,All modalities
ALL,-- All countries --,CAN,Canada,4,All,202310,All modalities
ALL,-- All countries --,CAN,Canada,4,All,202311,All modalities
ALL,-- All countries --,CAN,Canada,4,All,202312,All modalities
ALL,-- All countries --,CAN,Canada,4,All,202401,All modalities
ALL,-- All countries --,CAN,Canada,4,All,202402,All modalities
ALL,-- All countries --,CAN,Canada,3,All,202403,All modalities
ALL,-- All countries --,CAN,Canada,4,All,202404,All modalities
ALL,-- All countries --,CAN,Canada,4,All,202405,All modalities
ALL,-- All countries --,CAN,Canada,4,All,202406,All modalities
ALL,-- All countries --,CAN,Canada,3,All,202407,All modalities
ALL,-- All countries --,CAN,Canada,3,All,202408,All modalities
ALL,-- All countries --,CAN,Canada,3,All,202409,All modalities
ALL,-- All countries --,CAN,Canada,8,All,202410,All modalities
ALL,-- All countries --,CAN,Canada,9,All,202411,All modalities
ALL,-- All countries --,CAN,Canada,9,All,202412,All modalities
ALL,-- All countries --,CAN,Canada,9,All,202501,All modalities
ALL,-- All countries --,CAN,Canada,9,All,202502,All modalities
ALL,-- All countries --,CAN,Canada,18,All,202503,All modalities
ALL,-- All countries --,CAN,Canada,18,All,202504,All modalities
ALL,-- All countries --,ISR,Israel,3,All,202303,All modalities
ALL,-- All countries --,ISR,Israel,3,All,202304,All modalities
ALL,-- All countries --,ISR,Israel,3,All,202305,All modalities
ALL,-- All countries --,ISR,Israel,3,All,202306,All modalities
ALL,-- All countries --,ISR,Israel,3,All,202307,All modalities
ALL,-- All countries --,ISR,Israel,3,All,202308,All modalities
ALL,-- All countries --,ISR,Israel,3,All,202309,All modalities
ALL,-- All countries --,ISR,Israel,3,All,202310,All modalities
ALL,-- All countries --,ISR,Israel,3,All,202311,All modalities
ALL,-- All countries --,ISR,Israel,4,All,202312,All modalities
ALL,-- All countries --,ISR,Israel,4,All,202401,All modalities
ALL,-- All countries --,ISR,Israel,4,All,202402,All modalities
ALL,-- All countries --,ISR,Israel,4,All,202403,All modalities
ALL,-- All countries --,ISR,Israel,4,All,202404,All modalities
ALL,-- All countries --,ISR,Israel,4,All,202405,All modalities
ALL,-- All countries --,ISR,Israel,4,All,202406,All modalities
ALL,-- All countries --,ISR,Israel,4,All,202407,All modalities
ALL,-- All countries --,ISR,Israel,6,All,202408,All modalities
ALL,-- All countries --,ISR,Israel,2,All,202409,All modalities
ALL,-- All countries --,ISR,Israel,2,All,202410,All modalities
ALL,-- All countries --,ISR,Israel,2,All,202411,All modalities
ALL,-- All countries --,ISR,Israel,2,All,202412,All modalities
ALL,-- All countries --,ISR,Israel,2,All,202501,All modalities
ALL,-- All countries --,ISR,Israel,2,All,202502,All modalities
ALL,-- All countries --,ISR,Israel,2,All,202503,All modalities
ALL,-- All countries --,ISR,Israel,2,All,202504,All modalities
ALL,-- All countries --,KOR,Korea,2,All,202409,All modalities
ALL,-- All countries --,KOR,Korea,3,All,202410,All modalities
ALL,-- All countries --,KOR,Korea,3,All,202411,All modalities
ALL,-- All countries --,KOR,Korea,3,All,202412,All modalities
ALL,-- All countries --,KOR,Korea,3,All,202501,All modalities
ALL,-- All countries --,KOR,Korea,3,All,202502,All modalities
ALL,-- All countries --,KOR,Korea,3,All,202503,All modalities
ALL,-- All countries --,KOR,Korea,3,All,202504,All modalities
