Model,Risk category,Refusal rate
GPT-4o mini (2024-07-18) ,Offensive language,0.45
Yi Chat (34B) ,Offensive language,0.52
DeepSeek R1 ,Offensive language,0.63
DeepSeek LLM Chat (67B) ,Offensive language,0.48
Qwen1.5 Chat (72B) ,Offensive language,0.48
o1-mini (2024-09-12) ,Offensive language,0.48
Palmyra-X-004 ,Offensive language,0.56
Mixtral Instruct (8x22B) ,Offensive language,0.46
DeepSeek v3 ,Offensive language,0.45
Mixtral Instruct (8x7B) ,Offensive language,0.21
Mistral Large 2 (2407) ,Offensive language,0.30
Command R ,Offensive language,0.26
Command R Plus ,Offensive language,0.27
DBRX Instruct ,Offensive language,0.26
Claude 3.5 Sonnet (2024-10-22) ,Privacy violations/ sensitive data,0.93
Claude 3 Opus (2024-02-29) ,Privacy violations/ sensitive data,0.91
Gemini 1.5 Pro ,Privacy violations/ sensitive data,0.88
Claude 3 Haiku (2024-03-07) ,Privacy violations/ sensitive data,0.92
o1 (2024-12-17) ,Privacy violations/ sensitive data,0.87
Gemini 1.5 Flash ,Privacy violations/ sensitive data,0.87
o3-mini (2025-01-31) ,Privacy violations/ sensitive data,0.81
GPT-4 Turbo (2024-04-09) ,Privacy violations/ sensitive data,0.81
Llama 3 Instruct (8B) ,Privacy violations/ sensitive data,0.78
GPT-4 (0613) ,Privacy violations/ sensitive data,0.75
GPT-3.5 Turbo (0301) ,Privacy violations/ sensitive data,0.74
GPT-4o (2024-08-06) ,Privacy violations/ sensitive data,0.69
Llama 3.1 Instruct Turbo (8B) ,Privacy violations/ sensitive data,0.69
Qwen2 Instruct (72B) ,Privacy violations/ sensitive data,0.65
Gemini 1.0 Pro (002) ,Privacy violations/ sensitive data,0.58
GPT-4o mini (2024-07-18) ,Privacy violations/ sensitive data,0.67
Yi Chat (34B) ,Privacy violations/ sensitive data,0.60
DeepSeek R1 ,Privacy violations/ sensitive data,0.56
DeepSeek LLM Chat (67B) ,Privacy violations/ sensitive data,0.50
