fullname,Base Model,country,Upload To Hub Date,Average,#Params (B),CO2 cost (kg),IFEval Raw,IFEval,BBH Raw,BBH,MATH Lvl 5 Raw,MATH Lvl 5,GPQA Raw,GPQA,MUSR Raw,MUSR,MMLU-PRO Raw,MMLU-PRO,Official Providers
databricks/dolly-v1-6b,databricks/dolly-v1-6b,USA,2023-03-23,6.981231711,6,1.321559825,0.222443118,22.24431176,0.317208953,4.78130917,0.018882175,1.888217523,0.264261745,1.901565996,0.400416667,8.11875,0.126579122,2.953235816,TRUE
databricks/dolly-v2-12b,databricks/dolly-v2-12b,USA,2023-04-11,6.370435703,12,2.794238925,0.235507343,23.55073427,0.331997317,6.377894137,0.013595166,1.359516616,0.240771812,0,0.37390625,5.504947917,0.112865691,1.429521277,TRUE
databricks/dolly-v2-3b,databricks/dolly-v2-3b,USA,2023-04-13,5.599658243,3,1.516168968,0.224715976,22.47159758,0.30792786,3.324768957,0.01510574,1.510574018,0.26090604,1.454138702,0.33378125,3.22265625,0.114527926,1.614213948,TRUE
databricks/dolly-v2-7b,databricks/dolly-v2-7b,USA,2023-04-13,5.647360475,7,1.660411987,0.200985607,20.09856071,0.317306281,5.449892513,0.014350453,1.435045317,0.268456376,2.460850112,0.355302083,2.779427083,0.114943484,1.660387116,TRUE
Deci/DeciLM-7B,Deci/DeciLM-7B,Israel,2023-12-10,15.02347794,7.044,1.284274695,0.281294742,28.12947424,0.442285667,21.25272979,0.028700906,2.870090634,0.295302013,6.040268456,0.435854167,13.0484375,0.269198803,18.79986702,TRUE
Deci/DeciLM-7B-instruct,Deci/DeciLM-7B-instruct,Israel,2023-12-10,17.47009222,7.044,1.277298665,0.488023999,48.80239985,0.458974865,23.88714904,0.03021148,3.021148036,0.28942953,5.257270694,0.388416667,5.985416667,0.260804521,17.86716903,TRUE
deepseek-ai/deepseek-llm-67b-chat,deepseek-ai/deepseek-llm-67b-chat,China,2023-11-29,27.31063187,67,119.6436173,0.55871532,55.87153198,0.524341618,33.22524193,0.092900302,9.290030211,0.316275168,8.836689038,0.505864583,23.93307292,0.394365027,32.70722518,TRUE
deepseek-ai/deepseek-llm-7b-base,deepseek-ai/deepseek-llm-7b-base,China,2023-11-29,8.227098435,7,1.645071179,0.217871913,21.78719132,0.350303158,9.767924796,0.019637462,1.963746224,0.273489933,3.131991051,0.37378125,3.755989583,0.180601729,8.955747636,TRUE
deepseek-ai/deepseek-llm-7b-chat,deepseek-ai/deepseek-llm-7b-chat,China,2023-11-29,14.82315685,7,1.548965095,0.417082231,41.70822307,0.363207976,11.25894937,0.020392749,2.039274924,0.265939597,2.125279642,0.466770833,19.21302083,0.213347739,12.59419326,TRUE
deepseek-ai/deepseek-moe-16b-base,deepseek-ai/deepseek-moe-16b-base,China,2024-01-08,7.466333792,16.376,14.00493086,0.244974446,24.49744456,0.340946106,8.355555779,0.024169184,2.416918429,0.254194631,0.559284116,0.36578125,3.355989583,0.150515293,5.612810284,TRUE
deepseek-ai/deepseek-moe-16b-chat,deepseek-ai/deepseek-moe-16b-chat,China,2024-01-09,10.29061522,16.376,9.186956146,0.366299197,36.62991972,0.327495303,6.573749027,0.025679758,2.567975831,0.224832215,0,0.380760417,5.26171875,0.196392952,10.71032801,TRUE
deepseek-ai/DeepSeek-R1-Distill-Llama-70B,deepseek-ai/DeepSeek-R1-Distill-Llama-70B,China,2025-01-20,27.80942636,70.554,118.5464656,0.433593975,43.35939751,0.563496265,35.81986234,0.307401813,30.74018127,0.265100671,2.013422819,0.43421875,13.27734375,0.474817154,41.64635047,TRUE
deepseek-ai/DeepSeek-R1-Distill-Llama-8B,deepseek-ai/DeepSeek-R1-Distill-Llama-8B,China,2025-01-20,13.0599501,8.03,1.479805633,0.378239737,37.82397372,0.323935109,5.325247153,0.21978852,21.97885196,0.255033557,0.67114094,0.324979167,0.455729167,0.208942819,12.10475768,TRUE
deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,China,2025-01-20,10.3510368,1.777,1.236411179,0.346341042,34.63410418,0.324098799,4.729119208,0.16918429,16.918429,0.255872483,0.782997763,0.363458333,2.965625,0.118683511,2.075945626,TRUE
deepseek-ai/DeepSeek-R1-Distill-Qwen-14B,deepseek-ai/DeepSeek-R1-Distill-Qwen-14B,China,2025-01-20,38.22146462,14.77,3.992189978,0.43816518,43.81651795,0.590557313,40.69076686,0.570241692,57.02416918,0.387583893,18.34451902,0.536625,28.71145833,0.466672207,40.74135638,TRUE
deepseek-ai/DeepSeek-R1-Distill-Qwen-32B,deepseek-ai/DeepSeek-R1-Distill-Qwen-32B,China,2025-01-20,22.96226839,32.764,47.27590504,0.418631453,41.86314534,0.419691509,17.14967377,0.170694864,17.0694864,0.284395973,4.586129754,0.452604167,16.1421875,0.468666888,40.96298759,TRUE
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,China,2025-01-20,14.99492257,7.616,1.369931519,0.403768667,40.37686671,0.34425677,7.882702983,0.195619335,19.56193353,0.279362416,3.914988814,0.36628125,3.551822917,0.232130984,14.68122045,TRUE
distilbert/distilgpt2,distilbert/distilgpt2,USA,2022-03-02,4.002273827,0.088,0.246163081,0.061100103,6.110010328,0.303798815,2.835219846,0.006042296,0.604229607,0.259228188,1.230425056,0.420729167,11.1578125,0.118683511,2.075945626,TRUE
EleutherAI/gpt-j-6b,EleutherAI/gpt-j-6b,USA,2022-03-02,6.570411769,6,1.534864313,0.252218558,25.22185579,0.319104443,4.912818068,0.013595166,1.359516616,0.245805369,0,0.36575,5.252083333,0.124085771,2.676196809,TRUE
EleutherAI/gpt-neo-1.3B,EleutherAI/gpt-neo-1.3B,USA,2022-03-02,5.391090849,1.366,0.718848123,0.207905025,20.79050253,0.303923159,3.024569181,0.010574018,1.057401813,0.255872483,0.782997763,0.38165625,4.873697917,0.116356383,1.817375887,TRUE
EleutherAI/gpt-neo-125m,EleutherAI/gpt-neo-125m,USA,2022-03-02,4.407321908,0.15,0.405804973,0.190544422,19.05444221,0.311515689,3.436738951,0.006042296,0.604229607,0.253355705,0.447427293,0.359333333,2.616666667,0.10255984,0.284426714,TRUE
EleutherAI/gpt-neo-2.7B,EleutherAI/gpt-neo-2.7B,USA,2022-03-02,6.431047801,2.718,1.016762803,0.258962885,25.89628851,0.313951603,4.178602667,0.010574018,1.057401813,0.265939597,2.125279642,0.355364583,3.520572917,0.116273271,1.808141253,TRUE
EleutherAI/gpt-neox-20b,EleutherAI/gpt-neox-20b,USA,2022-04-07,6.116522152,20.739,6.293472747,0.258688059,25.86880588,0.316503803,4.929114202,0.013595166,1.359516616,0.243288591,0,0.364666667,2.816666667,0.115525266,1.725029551,TRUE
EleutherAI/pythia-1.4b,EleutherAI/pythia-1.4b,USA,2023-02-09,6.008531439,1.515,0.387232649,0.237080945,23.70809452,0.31504265,3.878989479,0.01510574,1.510574018,0.261744966,1.565995526,0.35378125,4.02265625,0.11228391,1.364878842,TRUE
EleutherAI/pythia-12b,EleutherAI/pythia-12b,USA,2023-02-28,6.059841493,12,2.236014306,0.247147568,24.71475685,0.317965396,4.987531038,0.016616314,1.66163142,0.246644295,0,0.364697917,3.787239583,0.110871011,1.207890071,TRUE
EleutherAI/pythia-160m,EleutherAI/pythia-160m,USA,2023-02-08,5.730394617,0.213,0.470677083,0.181551616,18.15516164,0.297043748,2.19883228,0.009063444,0.906344411,0.258389262,1.118568233,0.4179375,10.67552083,0.111951463,1.327940307,TRUE
EleutherAI/pythia-1b,EleutherAI/pythia-1b,USA,2023-03-10,5.070268221,1.079,0.312294805,0.220794159,22.07941595,0.300409302,2.2939864,0.009063444,0.906344411,0.256711409,0.894854586,0.355208333,2.734375,0.113613697,1.512632979,TRUE
EleutherAI/pythia-2.8b,EleutherAI/pythia-2.8b,USA,2023-02-13,5.554946282,2.909,1.507804003,0.21732226,21.73222605,0.322408594,5.077786162,0.013595166,1.359516616,0.25,0,0.348572917,3.63828125,0.113696809,1.521867612,TRUE
EleutherAI/pythia-410m,EleutherAI/pythia-410m,USA,2023-02-13,5.227072311,0.506,0.754163654,0.219545251,21.9545251,0.302813387,2.71542812,0.009818731,0.981873112,0.259228188,1.230425056,0.3578125,3.059895833,0.11278258,1.420286643,TRUE
EleutherAI/pythia-6.9b,EleutherAI/pythia-6.9b,USA,2023-02-14,5.966546775,6.9,1.737733829,0.228113627,22.81136274,0.323228787,5.88163198,0.014350453,1.435045317,0.251677852,0.223713647,0.359052083,3.81484375,0.114694149,1.632683215,TRUE
facebook/opt-1.3b,facebook/opt-1.3b,USA,2022-05-11,5.276689334,1.3,0.806009556,0.238329854,23.83298537,0.309394705,3.64805209,0.009063444,0.906344411,0.242449664,0,0.342,2.083333333,0.110704787,1.189420804,TRUE
facebook/opt-30b,facebook/opt-30b,USA,2022-05-11,6.276874108,30,5.999689573,0.24529914,24.52991396,0.307034475,3.498429385,0.010574018,1.057401813,0.269295302,2.572706935,0.360416667,4.185416667,0.116356383,1.817375887,TRUE
google/codegemma-1.1-2b,google/codegemma-1.1-2b,USA,2024-04-30,7.133867903,2.506,1.899766392,0.229362536,22.93625358,0.335341779,7.55122528,0.012839879,1.283987915,0.265100671,2.013422819,0.387145833,5.9265625,0.127825798,3.091755319,TRUE
google/flan-t5-base,google/flan-t5-base,USA,2022-10-21,6.415642125,0.248,0.313242881,0.189070555,18.9070555,0.35259806,11.33769368,0.010574018,1.057401813,0.238255034,0,0.367114583,3.22265625,0.13572141,3.969045508,TRUE
google/flan-t5-large,google/flan-t5-large,USA,2022-10-21,9.658122926,0.783,0.466982743,0.220094904,22.00949037,0.415311504,17.51001828,0.014350453,1.435045317,0.250838926,0.111856823,0.408322917,9.00703125,0.17087766,7.875295508,TRUE
google/flan-t5-small,google/flan-t5-small,USA,2022-10-21,6.129661811,0.077,0.286260485,0.152425564,15.24255642,0.32829011,6.363111962,0.00755287,0.755287009,0.26090604,1.454138702,0.412291667,10.36979167,0.123337766,2.593085106,TRUE
google/flan-t5-xl,google/flan-t5-xl,USA,2022-10-21,11.70507258,2.85,0.697858689,0.223741894,22.37418937,0.453106361,22.69505581,0.00755287,0.755287009,0.252516779,0.33557047,0.41809375,11.32838542,0.214677527,12.7419474,TRUE
google/flan-t5-xl,google/flan-t5-xl,USA,2022-10-21,11.58716744,2.85,0.28535173,0.220694424,22.06944241,0.453721722,22.83758766,0.000755287,0.075528701,0.245805369,0,0.42203125,11.85390625,0.214178856,12.6865396,TRUE
google/flan-t5-xxl,google/flan-t5-xxl,USA,2022-10-21,13.66207706,11.267,1.412953655,0.220045036,22.00450361,0.506588802,30.1192556,0.010574018,1.057401813,0.270134228,2.684563758,0.42175,11.18541667,0.234291888,14.92132092,TRUE
google/flan-ul2,google/flan-ul2,USA,2023-03-03,13.67599869,19.46,1.119932567,0.239254068,23.92540681,0.505373805,30.02029013,0.009063444,0.906344411,0.287751678,5.033557047,0.384354167,5.577604167,0.249335106,16.5927896,TRUE
google/gemma-1.1-2b-it,google/gemma-1.1-2b-it,USA,2024-03-26,8.053373854,2.506,0.658429563,0.306748317,30.67483167,0.318463497,5.862826723,0.018126888,1.812688822,0.269295302,2.572706935,0.339395833,2.024479167,0.148354388,5.372709811,TRUE
google/gemma-1.1-7b-it,google/gemma-1.1-7b-it,USA,2024-03-26,17.69358423,8.538,1.15659838,0.503910735,50.39107346,0.393529796,15.93420939,0.049093656,4.909365559,0.293624161,5.81655481,0.423020833,11.5109375,0.258394282,17.59936466,TRUE
google/gemma-2-27b,google/gemma-2-27b,USA,2024-06-24,23.92616734,27.227,11.22849856,0.24752213,24.75221302,0.564290832,37.39073745,0.166163142,16.6163142,0.350671141,13.42281879,0.439635417,13.92109375,0.437084441,37.45382683,TRUE
google/gemma-2-2b,google/gemma-2-2b,USA,2024-07-16,10.12946316,2.614,1.518795723,0.199312269,19.93122692,0.3655967,11.75580753,0.028700906,2.870090634,0.262583893,1.677852349,0.423177083,11.43046875,0.218001995,13.11133274,TRUE
google/gemma-2-2b,google/gemma-2-2b,USA,2024-07-16,10.35961557,2.614,2.836514702,0.201760218,20.17602184,0.370867461,12.49730623,0.03021148,3.021148036,0.262583893,1.677852349,0.421875,11.26770833,0.22165891,13.51765662,TRUE
google/gemma-2-9b,google/gemma-2-9b,USA,2024-06-24,21.20528678,9,8.616239679,0.203983209,20.3983209,0.53773734,34.09681854,0.134441088,13.44410876,0.32885906,10.51454139,0.446114583,14.29765625,0.410322473,34.48027482,TRUE
